Gene_ID,Gene_Name,CCT1,CCT2,VCT1,VCT2,VCT3,DCT1,DCT2,logFC.CCT,logFC.DCT,relative.CCT,relative.DCT,PValue
ENSMUSG00000018906.14,P4ha2,7.59,6.56,20.72,15.91,16.75,4.86,6.08,-1.1974696793,-1.2610216687,0.4360393741,0.4172483736,0.0010971797
ENSMUSG00000019232.14,Etnppl,0.08,0.05,2.88,1.05,2.45,0,0,-3.4395552829,-4.0347215396,0.0921702336,0.0610137604,0.0137198771
ENSMUSG00000019368.13,Sec14l4,8.67,8.19,31.26,20.81,26.12,3.69,3.49,-1.4959777375,-2.4019041952,0.3545404799,0.1892146638,0.0001465486
ENSMUSG00000019539.10,Rcn3,31.34,30.29,103.43,92.1,82.54,21.26,24.05,-1.4657326603,-1.6025913783,0.3620516271,0.3292849823,2.51473977289654E-06
ENSMUSG00000019929.15,Dcn,422.04,407.52,1013.52,1010.06,1005.77,342.11,342.03,-1.1660171411,-1.1378979482,0.445649953,0.4544212014,0.00000345
ENSMUSG00000021186.8,Fbln5,3.97,4.33,11.4,10.86,9.97,3.01,3.3,-1.2285827234,-1.3148752626,0.4267364579,0.4019602479,0.012363459
ENSMUSG00000021207.8,Akr1c21,0,0,7.9,1.86,8.22,0,0,-5.4715818157,-5.4715818157,0.0225366702,0.0225366702,0.0231316327
ENSMUSG00000021268.17,Meg3,23.51,27.6,68.28,50.02,50.77,15.76,16.58,-1.0183477418,-1.3704750005,0.4936814213,0.3867638872,0.0004650658
ENSMUSG00000021388.13,Aspn,20.46,21.1,41.92,54.65,41.52,10.57,12.74,-1.0241348463,-1.5481346474,0.491705076,0.3419519099,0.0001316659
ENSMUSG00000021751.13,Acox2,4.18,4.07,11.14,8.22,8.82,1.64,1.52,-1.0459519155,-2.0767586362,0.4843252367,0.237046396,0.0049866722
ENSMUSG00000022018.7,Rgcc,55.23,48.44,155,140.47,105.49,50.74,47.46,-1.2431870582,-1.0147822216,0.4224384158,0.4949030294,0.0001745469
ENSMUSG00000022032.14,Scara5,7.83,5.72,20.8,20.55,17.05,6.22,5.7,-1.3875336737,-1.2680930487,0.3822176555,0.4152082317,0.000201861
ENSMUSG00000022048.8,Dpysl2,27.94,26.45,81.93,104.71,88.52,21.06,20.43,-1.6308853304,-1.7145768392,0.3228900008,0.3046919228,8.11961566572313E-06
ENSMUSG00000022199.10,Slc22a17,4.09,2.62,9.13,7.59,7.42,1.46,1.21,-1.1144212856,-2.0839869129,0.4618763927,0.2358617023,0.009028684
ENSMUSG00000022330.4,Osr2,4.82,6.16,26.19,25.69,22.4,3.82,3.68,-2.0294998722,-2.2669945114,0.2449399711,0.2077622558,1.62206165903586E-06
ENSMUSG00000022484.7,Hoxc10,0,0,3.85,2.66,3.16,0.08,0.1,-4.6044169476,-3.6979988292,0.0411085716,0.0770533329,0.0013806349
ENSMUSG00000022665.14,Ccdc80,28.22,31.61,243.67,188.6,231.22,45.84,44.55,-2.7640660275,-1.8661101529,0.1472086113,0.2743120393,2.83083797915477E-06
ENSMUSG00000022816.11,Fstl1,82.39,81.11,200.39,231.87,191.57,75.63,72.06,-1.2256827793,-1.0664525847,0.4275950985,0.4774916518,5.49630376325619E-06
ENSMUSG00000023021.15,Cers5,15.94,15.51,59.87,50.98,50.56,8.67,7.19,-1.6481450967,-2.3223796323,0.3190501027,0.1999374134,1.7346519703466E-06
ENSMUSG00000024190.6,Dusp1,43.55,49.86,179.25,143.61,149.99,23.21,22.64,-1.6324772162,-2.3513198762,0.3225339168,0.1959666587,3.11567756653591E-06
ENSMUSG00000024529.13,Lox,5.39,4.03,13.74,17.02,13.19,4.39,3.91,-1.4936552116,-1.3729140025,0.3551116973,0.3861105815,0.0007191401
ENSMUSG00000024538.7,Ppic,70.94,58.98,175.37,176.22,172.79,29.58,31.62,-1.3098685707,-2.0863032864,0.4033576238,0.2354833095,2.35288807217081E-07
ENSMUSG00000025202.7,Scd3,3.12,3.89,83.84,46.97,80.15,2.71,2.97,-4.160240664,-4.1574528055,0.0559297362,0.0560379191,0.00010361
ENSMUSG00000025213.11,Kazald1,13.88,13.05,56.03,52.11,45.62,5.42,5.83,-1.8000430307,-2.7402849356,0.2871660234,0.1496552779,3.13717494837022E-07
ENSMUSG00000025784.4,Clec3b,20.22,14.79,64.78,63.44,45.35,18.4,18.88,-1.5986287608,-1.2038178904,0.3301906651,0.4341249094,0.0001317433
ENSMUSG00000025934.15,Gsta3,2.34,1.36,6.94,4.59,8.69,1.72,1.83,-1.6800497408,-1.4479616507,0.3120718775,0.3665389324,0.019602521
ENSMUSG00000026042.16,Col5a2,13.05,12.9,29.17,31.88,26.95,8.83,10.06,-1.0509256541,-1.201046873,0.4826583845,0.4349595443,6.45072845075651E-05
ENSMUSG00000026043.18,Col3a1,453.95,431.89,1514.82,1523.18,1422.82,296.59,297.35,-1.6285086547,-1.8987079825,0.3234223637,0.268183432,1.85550886494407E-07
ENSMUSG00000026837.15,Col5a1,13.94,12.09,33.23,33.02,34.71,9.65,9.82,-1.2440997055,-1.355396597,0.4221712662,0.3908273683,7.62462612618699E-06
