Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Clec12a,3,5,7,110.17,68,120,125,250,355.05
Clec4a3,3,4,3,87,81,79,133,329,264
Ppbp,0,0,0,4,3,9,116,372,233
Cyfip2,0,0,0,22,10,11,160,205,361
Stx11,1,1,1,19,17,12,166,180,394
Pde11a,1.01,1,0,0,0,0,297,173,270
Gpr84,0,0,0,5,3,3,116,205,418
Lrmp,7,10,3,30,39,39,98,382.97,282
H2-M2,0,0,0,5.06,0,4,153,304.02,300.85
Slc16a6,1,10,2.59,68.96,48,61.4,125.56,334.18,312.97
Snx20,3,1,5,13,16,22,84,365,320
Coro2a,1,0,0,33.17,38.07,31.24,126,380.74,269.79
Ptprz1,7.01,8,2,0,1,1,390,142,263
Sash3,4,2,1,34,30,67,79,446,262
Dlx3,0,3,0,0,0,0,432,215,138
Arhgap25,0,1,3,90,63,91,103,436,256
Evi2b,2.27,2.09,0.25,24.28,17.95,16.32,83.38,354.97,358.2
Trim30d,1,1,1,34.58,26.24,29.36,157.84,351.43,290.27
Qpct,4.01,1,11,54,30,27,147,298,369
Irak3,11,19,11,110,83,115.61,163,265,415
Fpr2,0,0,0,2,1,0,271,346,185
Vipr2,25.67,21.23,16.02,2,2,0,353,233,280
Dok2,5,5,11,117,76,112,86,475,264
Tbc1d31,17,28,9,127,73,110,334,192,340
Map3k8,13,17,13,72,56,79,317,212,332
Traf1,1,4,6,20,16,43,204,149.01,476
Bcl2a1b,0,0,0,44.19,30.41,23.6,64.16,316.45,437.58
Icosl,2,4,4,41,24,40,92,143,602
Gm14548,0,1.05,0,63.03,41.37,88.68,94.53,423,313.26
Plcb2,1,0,0,0,5,5,79,360,396
Sytl2,0,0,1,7,6,12,306,290,242
Casp4,2.09,2.03,0,75.34,62.47,92.59,206.01,241.02,396
Tacr3,0,0,0,1,0,0,426,249,168
Serpinb8,16.61,29.33,22,147,117.97,144,113,410,397
Gm13461,0,29.55,0,3.04,0,0,232.45,315.17,339.07
Tmem37,12,28,9,257,160,285,72,496,339
Tes,5,6,8.19,110.96,75.4,92.07,286.82,273.07,319.85
Ifi47,0,1,0,134.93,83,119.97,176.99,498.63,189.63
Hmga2,5.5,3,2.17,23.17,12.91,19.11,280.52,347.47,247.3
Derl3,2,6,4,34,32,32,547,204,133
Mx2,0,1,0,5,7,10,361.95,289.04,223.56
Naip2,2.19,1,1,29.27,16.01,13.58,112.86,467.39,298.12
Lrp8,13.96,17.31,3,2,0,2.02,186,332,400
Gpr162,3,7,3,0,1,0,320,326,253
Cd48,1,4,2,52,50,49,89,259,547
Tbxas1,4.31,4.77,4.27,147.13,106.68,114.64,132.64,420.66,360.07
Epsti1,0,1,0,37,21,29,210,489,203
Sp110,1.84,1.19,1.2,69.71,60.81,76.01,174.91,555.4,175.43
Pdgfb,2,2,1,24,25,30,117,236,555
Foxd1,4,9,1,0,0,0,327,332,272
Gm16185,21.99,22.95,2.93,2.05,3.79,1.06,589.41,174.22,210.97
Lpxn,7,7,3,43,23,28,75,513,360
Sp140,2.71,2.46,0,110.89,75.36,136.32,136.78,499.1,307.37
Gbp9,0,2.81,1,224.72,160.42,202.84,314.29,417.77,212.41
Adam19,4.35,6.17,8,49,35.01,46.06,166,422,372
Il7r,1,0,1,11.02,8,9.14,110,422,420
Syngap1,12,4,5,1,1,1,458,215,304
Il2rg,0,0,0,119,78,121,202,434,325.11
Rab11fip1,1.07,3.35,1.01,22.35,15.31,23.96,371.7,198.31,399.53
Vnn1,7,13,7,109,88,109,389,359,256
Gbp3,3,10.83,7.23,350.59,230.2,326.35,289.61,358.93,353.8
Gcnt2,16.01,12,6,178.93,95.82,163.2,316.17,459.18,240.63
Hoxc6,0,0,0,115,83,89,390,268,326
Zdhhc14,1,2,2,13,12,15,84,585,328
Ptpro,3.24,3,5.01,60,58,46,101,568,337
Oas1g,0,0,0,10.03,1.55,9.02,197.09,608.89,194.51
Gpsm3,1,4,2,24.4,16.38,22.95,203.53,499.25,306.28
Chrdl2,3,14,5,0,0,0,421,40,575
Btk,0,1,3,30,23,23,95,489,440
Csrnp1,20,15,14,124,99,153,319,180,572
Maff,1,4,6,36,32,25,403,166,470
Cthrc1,22,30,28,3,1,1,308,562,241
Gm29408,0,0,1,53.81,56.84,57.85,407.65,115.88,510.14
Prkch,2,4,2,281,177,232,122,344,576
Hoxa5,0,0,0,40,43,47,402,275,364
Tifa,7,12,4,63,42,63,195,506,387
Gm26633,2,13,6,0,0,0,432,266,394
Ikzf1,2,1,1,95,59,64,157,524,403
Mmp19,4.04,5.16,5.12,262.77,207.93,221.11,136.85,480.18,479.37
Mex3a,17.14,21.21,24.03,7,5,0,635,226,289.36
Zbp1,0,0,0,42,34,23,281,661,150
Gm5611,0,0,0,0,1.17,2.09,250.72,401.73,440.69
Prdm1,0,0,0,20,19,18,193,199,704
Lama5,6,7,10,75,55,54,742,154,232
Cdr2,19,25,26,186,117,160,296,445,436
Arl11,3,0,1,18,13,16,102,588,423
Pvr,29,32,21,203,135,198,430,281,481
Adap2,5,3,5,132.79,90,108.71,121.66,610.24,392.32
Gm5601,0,0,0,28.05,0,27.23,410.86,206.29,494.08
Tec,2,2,5,19,18,19,149,541,432
Adap1,2,6,4,101,64,94,134,605,390
Irgm2,5.5,19.63,16.56,183.76,111.03,166.11,326.54,496.96,335.42
Rel,12,12,6,79,55,94,186,265,707
CAAA01093177.1,0,0,0,1.58,0,0,336.56,422.37,377.65
Car13,17,41,13,327,221,294,218,514,485
Fzd8,21,30,32,6,9,5,422,518,293
Selplg,21.71,11.74,5.41,84.84,61.34,108.33,209.49,567.19,415.92
Pik3cg,0,3,5,37,25,20,125,482,556
Stmn1,8,25,14,102,73,85,414.18,303.58,487
Cth,3,8,2,115,86,114,405,113,653
Ifi205,0,1,0,147.89,91.04,109.26,180.37,515.39,466.1
Casp1,1,6,1,150,107,129,142,539,491
Gm4737,38.13,26.5,9.73,157.92,125.35,166.37,372.97,414.47,451.24
Lfng,3,3,3,86,57,89,182,445,553
Cd83,4,7,10,216,149,219,124,383,692
Ppif,16,49,24,180,136,193,283,688,317
Fgd6,4,5,1,25,30,34,382,301,527
Col22a1,3.06,12.43,15.79,0,2,1,627.03,373.74,238.32
Casp3,12,25,17,98,79,97,640,278,348
Tm6sf1,6.25,12.98,2.21,123.56,105.81,121.19,139.24,546.81,557.8
Pyhin1,0,0,0,8.12,10.26,10.01,239.99,692.33,297.27
Mark1,26,18,26,4,4,3,626,350,330
Msi1,10,13,16,1,1,1,771,277,247
Ms4a4a,4,0,3,27,19,15,151,803,310
Ddx60,2,6,3,57,45,42,249,711,310
Iqgap2,4,4,2,32,28,30,148,611,521
Clec4a2,5,5.55,0,34,32.04,31.47,157.7,624.72,507.99
Nes,4,9,13,129,79,105,638,391,283
Dusp5,8,5,10,195,120,125,779,184,356
Wnt5a,20.01,40.37,35.02,191.01,160.02,165,431,593,372.66
Herc6,6.91,12.56,8,66.99,53,72.17,420.53,565.76,345.65
Cd200r1,0,3,1,20.74,11,24,133.96,636.35,538.58
Slamf7,0,0,0,9,7,16,173.95,512.71,622.44
Sox12,21,36,26,7,4,1,595,285,515
Hoxc8,0,0,0,247,189.43,223,613,245,482
Cd33,4.14,8.13,3,21.19,20.11,35.21,263.99,422.5,711.11
Cers6,5,19,3,62,58,75,305,449,661
