"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Fam188b",0.293008815218133,0.392909833575919,0.40048656608862,0.481700888819652,0.51052853817325,0.96830561964214,1.17141216873683,1.07298040179828
"Fam149a",0.263686645527842,0.18329258066629,0.250150787190833,0.525345486768621,0.524294395220858,1.05462238404946,1.06216125377123,1.09551403415665
"Fam124a",0.180678965162713,0.210181250730224,0.0927653445970862,0.420048436499849,0.403337434108574,1.05154801195294,1.08467338813964,1.15349234949342
"Faim2",0.166126325980803,0.260255693645326,0.284142966267392,0.0215254601943812,0.0215254601943812,0.804962605567152,0.796220840999508,0.799102340734051
"F930015N05Rik",0.00212916741234755,0.0369835769423422,0.00160465308814653,0.0141684727730847,0.0440096884504269,1.04274360253562,1.08667521210902,0.979832359828083
"Exoc3l4",0.223861042809745,0.22333383559207,0.183659999764887,0.128704713905437,0.11836726799436,0.661123319110069,0.737830083643886,0.727113469850092
"Etnppl",0.00212916741234755,0.00264866238374226,0.0129177707661519,0.0403242736990226,0.0680805072285762,0.81689802579028,0.84762370022012,0.832659081768115
"Etnk2",0.056292828823227,0.0775759848823624,0.0659737905373456,0.0642901090197437,0.100549178238549,0.615590041997285,0.653665450897856,0.642050976143309
"Erg",0.0940846794056363,0.173333342103014,0.242302520010416,0.294489489921801,0.155559355064868,1.08858635617033,1.12427178409654,1.10418194570994
"Epm2a",0.0827492600695224,0.107477128159163,0.0417500072017119,0.184250822635877,0.217524035915916,0.714034627319582,0.830496729618362,0.775143446438391
"Eno2",0.161380429885123,0.231281820663399,0.0671976587030612,0.386838400553353,0.251825075079965,0.965781503085171,0.927306980539178,0.92596361716127
"Enkur",0.0478540745524143,0.00264866238374226,0.0444457294311546,0.0795684888877611,0.152053525047262,0.869628574322508,0.841392351773446,0.916227833792314
"Emx2",0.223861042809745,0.0897063493213758,0.226299383217438,0.409794448347655,0.604601054684804,1.25773993754618,1.2105062836273,1.30435177987775
"Emilin3",0.0164849995429615,0.0369835769423422,0.0560925075810263,0.0701891884032568,0.0795684888877611,0.585354029299997,0.630661540049695,0.568156434315357
"Elf3",0.304705408412381,0.18329258066629,0.162339504306518,0.0440096884504269,0.0322486400219355,0.675359771621108,0.839396664537177,0.756628754990464
"Eif3s6-ps2",0.00212916741234755,0.00264866238374226,0.00160465308814653,0,0,0.873762711119996,1.04745834257482,1.05955555811413
"Efr3b",0.0478540745524143,0.0503306680077088,0.0369835769423422,0.0189773877333803,0.0129177707661519,0.522063361463614,0.466605980045476,0.497571163004829
"Dync1i1",0.101651720316488,0.165606505501443,0.0849288999094633,0.0289110962586398,0.0795684888877611,1.14713419699026,1.09813419049905,1.1139927734815
"Dusp27",0.123533884454679,0.195494926945222,0.150383248696041,0.0240246450128647,0.0374839197490514,0.773435031102929,0.786571119932137,0.770033760379869
"Dusp26",0.421464446837526,0.542667243275005,0.432668615559036,0.346545728461801,0.350463898731904,1.01283557829422,1.11014789564716,0.965781503085171
"Dupd1",0.300003113858549,0.235336138115243,0.121247051195985,0.0972998802997504,0.0341608219771759,0.830496729618362,0.910699338118578,0.698139012327495
"Dtna",0.38695823918121,0.429540638953037,0.303825837631942,0.179599394567782,0.0942895362657135,0.947819773967731,0.973060118538184,0.979832359828083
