"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Hsd17b2",0.869628574322508,0.822651821675491,1.01926957462249,1.50030192818659,1.55119317216474,0.0317528666197353,0.0369835769423422,0.031523806989335
"Hrnr",0.388925375274721,0.386271522689904,0.597783877535013,1.93827351724518,1.95879321883663,0.0317528666197353,0.0369835769423422,0.031523806989335
"Hcst",0.891394168987681,0.833057740016125,0.521358735448593,1.44230998061242,1.41206462075515,0.591521948143547,0.480966562131573,0.6295687103097
"H2-M2",0.497840726000235,0.535190034752982,0.567739274150934,1.01511714101855,1.08393025449224,0.229570349343909,0.231281820663399,0.197987240739001
"H2-DMb2",0.66319597399407,0.682988371980748,0.643082234808318,1.31385672903788,1.34646956409894,0.414061904128942,0.47798976833107,0.410127522592958
"Gsta3",0.473741222908909,0.490213078687267,0.495548745984476,1.20379544232241,1.30936954233492,0.460650852812887,0.315502355407625,0.334003997292873
"Gsta1",0.624243584650165,0.481343737464092,0.700628062210226,1.56963156736164,1.56963156736164,0.227041156395587,0.0369835769423422,0.031523806989335
"Grap",0.680616081491728,0.595582419218377,0.488872384499301,1.22655383915941,1.20036855543968,0.672076331804881,0.662788835092877,0.673192134148298
"Gramd1c",0.594494802942677,0.578297047698382,0.684047257449576,1.26890852828815,1.26232899103117,0.572530975518963,0.506965424691552,0.541865941007613
"Gpr34",0.392023953582073,0.404717210957279,0.288442664079249,0.919453238416678,1.01029831739935,0.365661624892697,0.402902674155352,0.411845955968253
"Gm6537",0.501690120191536,0.378003457723842,0.495548745984476,1.12089430381725,1.11572975391818,0.0317528666197353,0.0369835769423422,0.031523806989335
"Gm6311",0.00212916741234755,0.00264866238374226,0.00160465308814653,2.5592291509742,2.53643668664594,0.0317528666197353,0.0369835769423422,0.031523806989335
"Gm6166",0.00212916741234755,0.00264866238374226,0.116108720011038,2.82530172624137,2.69571665918939,1.26847462965611,1.1908887159241,1.1908887159241
"Gm5538",0.0612811151029331,0.0942895362657135,0.195494926945222,2.07184471440713,2.06018871304448,0.0317528666197353,0.0369835769423422,0.031523806989335
"Gm43519",0.511080961326554,0.374078910328101,0.743913568021367,1.0574738265137,1.14904997590732,0.303430502418998,0.200879901047388,0.197987240739001
"Gm3448",0.220685880716538,0.156938192109169,0.332922782368941,1.19963043830419,1.13853785025883,0.675359771621108,0.582166030571916,0.70704023191485
"Gm27517",0.421464446837526,0.675777183624402,0.7577959198797,1.25182511752591,1.31167101483701,0.0317528666197353,0.0369835769423422,0.031523806989335
"Gm21685",0.756152620044021,0.712499207842441,0.911685785572175,1.32766325994066,1.31814226632188,0.789007010118967,0.773435031102929,0.727113469850092
"Gm15987",0.419961854591926,0.338819085361998,0.500146065065294,0.963967342028984,0.910930379765225,0.340881688588675,0.315502355407625,0.351655309245563
"Gm15406",0.382172319037702,0.657833110815104,0.662569174884373,1.16807421546446,1.28945405108563,0.661123319110069,0.414061904128942,0.799102340734051
"Gm14305",0.822651821675491,0.756628754990464,0.763291819914034,1.35699869326348,1.2693457023631,0.0317528666197353,0.355648642923839,0.031523806989335
"Gm13248",0.373243787081652,0.22333383559207,0.226299383217438,1.39317044859717,1.36526931103576,0.876850217260609,0.831458132511896,0.562059756672402
"Gm13177",0.0751507450367207,0.0775759848823624,0.14679445636502,1.88856534315765,1.90406868487893,0.0317528666197353,0.0369835769423422,0.031523806989335
"Gm13124",0.00212916741234755,0.00264866238374226,0.00160465308814653,1.63256411702323,1.73400728461154,0.0317528666197353,0.0369835769423422,0.031523806989335
"Gm12589",0.633776477080588,0.6295687103097,0.727363642502824,1.29388491548028,1.14501667943703,0.170279258052629,0.220685880716538,0.031523806989335
