Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.CRT,logFC.DRT,relative.CRT,relative.DRT,PValue
ENSMUSG00000061816.15,Myl1,3411.04,2405.77,3284.59,176.6,181.66,804.59,797.48,3033.8,179.13,801.035,3.790650199,2.194574327,13.83883123,4.577545819,1.79504E-06
ENSMUSG00000030399.1,Ckm,2769.12,1836.13,2437.26,124.06,112.6,391.02,418.45,2347.503333,118.33,404.735,4.012002268,1.800822251,16.13366465,3.484187468,1.95109E-06
ENSMUSG00000044938.8,Klhl31,48.28,37.75,50.69,0.85,2.58,8.36,8.48,45.57333333,1.715,8.42,4.362364533,2.2619371,20.56849789,4.796350534,2.35045E-06
ENSMUSG00000108322.1,RP23-455C13.7,28.38,31.63,35.59,0.95,1.27,13.28,11.56,31.86666667,1.11,12.42,4.427509455,3.395053999,21.51855736,10.51993582,2.60008E-06
ENSMUSG00000011148.13,Adssl1,91.34,63.74,89.69,6.3,7.11,15.56,15.4,81.59,6.705,15.48,3.300496012,1.233294967,9.852542118,2.351033289,2.72323E-06
ENSMUSG00000074001.2,Klhl40,17.99,13.88,17.54,0.73,0.98,3.75,3.3,16.47,0.855,3.525,3.817466386,1.946760981,14.09846692,3.855080486,2.85525E-06
ENSMUSG00000031791.7,Tmem38a,77.74,55.41,76.05,6.39,8.44,16.28,16.26,69.73333333,7.415,16.27,2.932726711,1.162461935,7.635521583,2.238390795,4.17322E-06
ENSMUSG00000042451.12,Mybph,27.35,21.25,22.38,1.14,1.61,11.21,12.34,23.66,1.375,11.775,3.717259792,3.036202261,13.1524512,8.203287894,4.65372E-06
ENSMUSG00000031972.4,Acta1,5211.98,3326.06,4808.04,267.61,233.39,875.39,922.55,4448.693333,250.5,898.97,3.849381967,1.867994658,14.41383137,3.650248437,4.68477E-06
ENSMUSG00000032648.14,Pygm,186.89,125.68,187.01,11.15,12.47,61.77,58.63,166.5266667,11.81,60.2,3.520009318,2.378823492,11.47171608,5.201124211,5.03937E-06
ENSMUSG00000057003.12,Myh4,240.35,160.85,227.12,13.87,19.09,85.99,84.36,209.44,16.48,85.175,3.378079291,2.406096883,10.3968839,5.300383999,5.43374E-06
ENSMUSG00000002500.15,Rpl3l,53.83,35.55,44.54,2,2.2,10.12,10.68,44.64,2.1,10.4,4.05617078,2.286856309,16.63524006,4.87991598,5.77437E-06
ENSMUSG00000068697.6,Myoz1,280.7,197.14,281.99,19.83,14.72,58.84,63.65,253.2766667,17.275,61.245,3.570462211,1.84837239,11.87999407,3.600937078,5.84342E-06
ENSMUSG00000038239.10,Hrc,33.03,23.03,32.12,1.32,1.48,5.65,6.85,29.39333333,1.4,6.25,4.004118843,2.110269359,16.0457447,4.317719013,5.94978E-06
ENSMUSG00000060600.15,Eno3,944.43,554.15,885.52,42.66,53.32,173.02,166.65,794.7,47.99,169.835,3.762946559,1.864866402,13.57562355,3.642342027,6.41249E-06
ENSMUSG00000005628.12,Tmod4,89.85,61.83,81.32,8.59,6.7,18.6,19.27,77.66666667,7.645,18.935,3.041372467,1.333624145,8.232738869,2.520350088,7.20141E-06
ENSMUSG00000038170.15,Pde4dip,92.86,74.1,108.67,7.79,5.87,33.44,31.36,91.87666667,6.83,32.4,3.44294895,2.265001644,10.87504111,4.806549676,7.90249E-06
ENSMUSG00000040694.3,Apobec2,167.01,115.79,158.5,11.6,8.32,89.63,97.04,147.1,9.96,93.335,3.578884816,3.24655314,11.94955357,9.490954199,8.0668E-06
ENSMUSG00000020475.3,Pgam2,966.08,572.97,921.63,58.38,62.01,169.24,167.93,820.2266667,60.195,168.585,3.475381867,1.520703557,11.12228933,2.869309426,8.29726E-06
ENSMUSG00000007877.2,Tcap,894.24,611.19,798.6,46.8,29.28,145.84,151.94,768.01,38.04,148.89,4.023216026,1.981611642,16.25955677,3.949340182,1.02922E-05
ENSMUSG00000061723.17,Tnnt3,2132.12,1352.49,2089.58,137.93,116.78,462.27,457.48,1858.063333,127.355,459.875,3.564118684,1.876397153,11.82787243,3.671570119,1.13294E-05
ENSMUSG00000020216.13,Jsrp1,49.17,34.18,45.55,3.64,2.16,10.03,11.76,42.96666667,2.9,10.895,3.555721309,1.907556797,11.7592269,3.751732058,1.13745E-05
ENSMUSG00000026208.9,Des,134.41,85.7,120.86,12.6,11.56,29.87,29.72,113.6566667,12.08,29.795,2.935554194,1.331947174,7.650500824,2.517422167,1.21902E-05
ENSMUSG00000041476.12,Smpx,122.19,76.87,129.59,4.83,5.61,34.7,36.91,109.55,5.22,35.805,4.077400063,2.791323074,16.8818378,6.922643592,1.29349E-05
ENSMUSG00000021798.13,Ldb3,106.24,70.29,104.72,6.64,3.8,24.62,27.3,93.75,5.22,25.96,3.850892793,2.325791773,14.42893379,5.013408435,1.3296E-05
ENSMUSG00000026100.6,Mstn,19.89,15.09,21.73,0.16,0.9,4.9,5.08,18.90333333,0.53,4.99,4.603136181,3.023594539,24.30424109,8.13191164,1.53165E-05
ENSMUSG00000038670.10,Mybpc2,70.51,44.88,70.37,2.39,4.6,12.71,11.9,61.92,3.495,12.305,3.822241697,1.823685524,14.14521007,3.539843366,1.5623E-05
ENSMUSG00000030672.12,Mylpf,2413.12,1667.17,2282.28,174.39,126.26,547.03,613.96,2120.856667,150.325,580.495,3.509252738,1.964018601,11.38650226,3.901472149,1.70154E-05
ENSMUSG00000041889.7,Shisa4,33.34,25.78,36.12,3.86,4.49,9.82,7.77,31.74666667,4.175,8.795,2.613311991,1.094495757,6.11906825,2.135384338,1.7784E-05
ENSMUSG00000017300.9,Tnnc2,5929.77,3174.31,5537.47,326.66,353.19,1125.66,1070.82,4880.516667,339.925,1098.24,3.551675244,1.728879722,11.72629413,3.314703257,1.8228E-05
ENSMUSG00000046818.7,Ddit4l,70.53,50.71,60.68,10.51,10.62,24.09,21.24,60.64,10.565,22.665,2.226403844,1.13254162,4.679660419,2.192446472,1.95253E-05
ENSMUSG00000062077.14,Trim54,20.53,13.48,21.25,0.53,0.82,3.3,3.47,18.42,0.675,3.385,4.273460382,2.186148112,19.33925591,4.550888097,2.01069E-05
ENSMUSG00000074218.2,Cox7a1,281.57,169.21,259.8,24.09,25.84,78,73.64,236.86,24.965,75.82,2.952325506,1.636950626,7.739956757,3.110077705,2.12701E-05
ENSMUSG00000028396.5,2310002L09Rik,27.44,20.86,27.16,2.83,1.2,6.17,6.79,25.15333333,2.015,6.48,3.288801895,1.6695484,9.773002734,3.18115,2.22607E-05
ENSMUSG00000068614.7,Actc1,24.91,15.53,24.05,0.37,0.27,3.99,5.38,21.49666667,0.32,4.685,5.35484992,3.502370159,40.92328122,11.33231071,2.23836E-05
ENSMUSG00000028773.8,Fabp3,172.79,95.07,167.34,10.22,10.24,32.5,32.43,145.0666667,10.23,32.465,3.523292108,1.693670908,11.49784919,3.234787425,2.68073E-05
ENSMUSG00000031519.2,Asb5,27.25,18.26,28.06,1.48,1.61,6.37,7.44,24.52333333,1.545,6.905,3.612347643,2.119804349,12.22995883,4.346349981,2.70615E-05
ENSMUSG00000026950.16,Neb,314.65,170.3,311.95,15.48,22.38,61.55,64.46,265.6333333,18.93,63.005,3.520910504,1.774309175,11.47888418,3.42074171,2.84183E-05
ENSMUSG00000036854.14,Hspb6,230.45,124.32,222.56,13.86,11.85,42.04,43.19,192.4433333,12.855,42.615,3.600155408,1.75506624,12.1270388,3.375418161,2.86524E-05
ENSMUSG00000075307.3,Klhl41,56.9,39.36,62.14,1.95,4.68,16.8,15.56,52.8,3.315,16.18,3.66749332,2.289567272,12.70648705,4.889094435,3.05998E-05
ENSMUSG00000021622.3,Ckmt2,205.14,97.81,195.42,5.93,7.19,27.85,27.03,166.1233333,6.56,27.44,4.351304663,2.086360994,20.41142021,4.246755334,3.19486E-05
ENSMUSG00000031312.5,Itgb1bp2,32.69,21.31,30.59,1.98,1.33,12.38,12.2,28.19666667,1.655,12.29,3.719631162,2.848686923,13.17408777,7.203444462,3.36435E-05
ENSMUSG00000019933.7,Mrln,31.82,25.99,29.85,4.52,2.15,11.82,12.22,29.22,3.335,12.02,2.807847289,1.853459814,7.002389388,3.613657597,3.39423E-05
