gene_name,gene_id,DCT1,DCT2,DEA1,DEA2,DMA1,DMA2,DMA3,DLA1,DLA2,DLA3,DC2,DC1,DRT2,DRT1
Psmb5,ENSMUSG00000022193.6,85.34618912,83.37074913,87.71476762,84.61385903,28.347065,28.25769901,34.31126087,47.7397019,52.17605788,46.02639963,34.02446391,33.55635937,38.07926125,39.02556047
Mmp24,ENSMUSG00000027612.7,0.718197959,0.992782263,1.256547343,1.709644453,0.000299729,0.000213878,0.092825775,0.104006514,0.169979527,0.287245745,0.437657114,0.116396226,0.333494605,0.346294743
Med11,ENSMUSG00000018923.13,1.066905867,1.275645517,1.139161794,1.01479333,0.355707323,0.208434089,0.287942358,0.522425268,0.287411708,0.563367059,0.427241099,0.550352872,0.291439058,0.442447996
Cacna1b,ENSMUSG00000004113.18,5.122748542,6.221757191,3.699987949,4.059160393,0.879401097,0.918829355,1.256897805,1.862122282,1.891005586,1.954644718,1.163797047,0.952814796,2.253963136,1.778850686
Olfr690,ENSMUSG00000050266.4,5.002925831,5.846425075,5.495453675,4.827476742,2.040185893,1.783506135,2.035439006,1.566717925,1.856506735,1.689450077,1.490832526,2.404047866,2.206614451,2.04593734
Cox15,ENSMUSG00000040018.9,4.321397244,3.069143129,3.237812953,3.168548725,0.869167815,1.010264992,1.175971123,1.287964417,1.12985001,0.995309086,0.705707438,0.895127944,1.08539711,1.198010879
Olfr429,ENSMUSG00000049528.5,585.0146197,616.7096818,510.629375,465.1994174,112.1282189,97.36589394,80.02248173,198.4657299,168.3807132,154.1782533,270.1204296,252.9624081,197.6650825,181.9781169
Gnl3,ENSMUSG00000042354.6,2.443196172,3.412798726,3.291511036,3.524814366,1.177512988,1.478322171,0.690633352,0.545031241,0.989064798,0.646938264,0.577046156,0.165226961,0.926926996,0.95901967
Mmp20,ENSMUSG00000018620.2,1.285602878,1.642475633,1.126769087,1.102541853,0.490669281,0.393139971,0.319350567,0.381500963,0.720438799,0.63541965,0.357749892,0.343245138,0.291221745,0.431693884
Nudt1,ENSMUSG00000036639.12,0.848794321,0.93056719,1.022455119,1.124121129,0.294713847,0.280250014,0.389691746,0.410315573,0.389145595,0.349801843,0.556781721,0.47094324,0.454075313,0.348337669
Tmem202,ENSMUSG00000049526.7,1899.145355,1821.650939,1612.413744,1529.129041,289.6106696,285.0784176,237.3928962,533.9296841,525.3925651,460.3356015,725.0890134,733.9242834,526.7358628,508.6884507
Fbxw17,ENSMUSG00000037816.10,5.665482938,6.378783987,5.294733493,6.118881946,2.305811888,2.169432477,1.428061331,2.437066076,2.643544396,3.177815878,1.172773808,1.822226779,2.856517627,1.951474639
Gm9885,ENSMUSG00000052629.5,16.65460746,18.49008583,18.83964001,17.19850987,4.932004253,6.315509689,5.187815995,7.438298195,6.95075308,7.018387758,5.412226774,4.919047618,5.86516477,5.474368314
Glod4,ENSMUSG00000017286.15,7.505409469,9.943341389,7.27200381,8.10170508,1.268482119,2.418645157,1.283395749,1.815581205,2.74784689,2.444894599,3.70989285,4.164396283,1.472834744,2.340906736
Dtx1,ENSMUSG00000029603.15,2.818333227,2.668707517,3.348251766,4.021038804,1.217436625,0.939684673,1.034728305,1.207236353,1.130229129,1.137295622,1.134334257,0.60734122,0.664230804,0.932316947
Slc39a14,ENSMUSG00000022094.15,30.17874692,29.89753602,32.27512371,29.9118608,7.97100535,8.317959035,7.875304532,12.74214307,12.70831282,11.87990233,4.795725516,4.042000137,8.774627287,8.55552969
Gyltl1b,ENSMUSG00000040434.16,1.627261401,1.290382803,1.40598194,1.231379658,0.181513647,0.392344899,0.410022797,0.490624465,0.119659838,0.298384446,0.178718791,0.176101075,0.421245202,0.34778447
Ggt7,ENSMUSG00000027603.15,105.5619603,108.4839057,78.10504482,76.48347756,17.04975713,17.61164012,16.73009556,35.96147836,34.69557126,36.90173114,36.36911681,40.10285404,23.40335946,26.14080389
Mettl2,ENSMUSG00000020691.13,15.98503568,16.25487946,17.66901849,19.85622647,6.788273617,8.102014528,6.215063541,6.415655238,5.661580403,6.045682106,10.59619333,9.435472823,4.05041941,5.222826549
Shtn1,ENSMUSG00000041362.16,7.61400713,7.327970655,4.701684034,5.041643768,1.49675328,2.076566827,1.973673451,2.391121291,1.671078228,2.524376039,1.671432953,1.25727597,1.618449742,1.605329033
Gm8394,ENSMUSG00000050490.7,0.540008863,0.48390965,0.465015327,0.456535377,0.105760257,0.000403807,0.07258262,0.236281548,0.190637168,0.134760009,0.099194237,0.09755154,0.29572688,0.117412695
Atg14,ENSMUSG00000037526.6,1.155228346,1.288967725,1.709422684,1.211193086,0.540864885,0.290690797,0.207120266,0.390332393,0.471797163,0.390683865,0.268344596,0.136480075,0.332580366,0.303093205
9930111J21Rik1,ENSMUSG00000069893.10,2.833079963,2.417305648,1.970283009,2.354090271,0.605746214,0.49660871,0.564067833,1.428450141,0.759156463,0.913284217,0.287708738,0.718779909,0.491760717,0.5643311
Il1r1,ENSMUSG00000026072.12,5.731066194,4.770756922,7.080942969,6.870173542,1.611566858,1.492300945,1.108828833,1.194225279,0.530534066,0.891469723,0.377399716,0.609784873,1.128220038,1.166726171
Cabp2,ENSMUSG00000024857.16,4.604596837,5.332201477,3.302033944,3.279612279,1.424677523,1.500192595,0.772780023,1.418782569,1.016124261,0.792043134,1.999613163,1.690762869,1.210763223,0.986010639
Tnfaip8l2,ENSMUSG00000013707.3,6.320242274,7.031305085,4.265292178,4.35120602,0.985715833,1.175767921,1.623570148,1.87132147,1.694887426,1.862603017,1.950285288,1.305724017,1.521938148,1.23886509
Tmem132c,ENSMUSG00000034324.16,12.22539243,11.21427004,9.175789088,9.764856324,1.959983354,2.807514976,3.16554063,2.955606535,2.996055393,3.059046269,5.122632688,5.562192025,2.729440311,2.485215592
Rps5,ENSMUSG00000012848.14,82.59010607,82.30380904,80.85272281,85.02831668,24.0185947,22.25905654,21.8958376,25.65222143,24.48329995,23.19494878,49.45429581,49.75180882,18.95291223,18.20155824
Tas2r117,ENSMUSG00000058349.2,23.36046877,45.8186998,54.13498249,43.78608483,2.78E-17,2.78E-17,2.78E-17,0.011521016,6.645741935,0.011909538,2.78E-17,2.78E-17,5.070721572,5.501250309
Abce1,ENSMUSG00000058355.6,23.36046877,45.8186998,54.13498249,43.78608483,2.78E-17,2.78E-17,2.78E-17,0.011521016,6.645741935,0.011909538,2.78E-17,2.78E-17,5.070721572,5.501250309
Slc15a2,ENSMUSG00000022899.8,1.83665387,2.105978821,1.311844364,1.61977037,0.26689835,0.720051489,0.644993623,0.410668289,0.461659608,0.400887963,0.845395961,0.667481231,0.1561332,0.332476387
Tpmt,ENSMUSG00000021376.10,25.20002412,28.70508632,30.67636989,31.2590612,3.987211732,3.718396792,4.373765083,13.54177842,17.56625611,16.92868782,24.08847171,20.74098275,7.066729424,6.47374627
Stk38l,ENSMUSG00000001630.13,12.82087694,14.34553437,12.79922409,15.77762756,1.731794405,2.277265896,3.365685857,7.588229924,7.816236796,8.626895797,10.51575226,10.12707822,3.725987674,3.148352269
Pex12,ENSMUSG00000018733.10,17.23294747,16.81093145,16.75751609,14.19225218,5.549302571,4.899939222,4.951613947,6.917612741,6.757956816,6.325197112,9.490998321,9.142775209,4.614959575,3.444563057
