gene_name,VCT1,VCT2,VCT3,VEA1,VEA2,VEA3,VMA1,VMA2,VLA1,VLA2,VLA3,VC1,VC2,VRT2,VRT1
Bbs10,2.78E-17,2.78E-17,2.78E-17,0.077349516,0.114804024,0,0.730624117,0.618995597,0.640669183,1.069545281,0.671998896,0.390105361,0.240302303,0.002266242,0.111078112
Chsy1,10.4471443,10.52219423,9.71090522,25.49906548,23.5621461,22.65437536,85.31733384,99.17971075,74.28945458,77.96010681,78.64869409,69.1119883,69.99792506,32.16563774,30.50530241
Gm24919,57.95587397,44.46534018,48.0263978,47.80835589,47.86342875,50.38251663,436.1832018,462.9209461,447.5325369,398.190742,402.8309659,457.8495963,543.8937048,457.9911336,262.2254454
Pik3c3,17.48116131,17.71311253,15.35641844,11.05561242,12.30533988,9.110470887,55.27130933,67.93730805,55.63770496,56.51772515,50.37602723,60.90991567,53.15791903,17.61944941,18.54883694
Gbp2b,115.6559301,123.2610047,97.39151767,31.30668916,33.16062375,32.54387517,301.1333716,337.6625121,312.6403542,322.7892169,275.739002,339.5102571,347.6211303,154.0509697,163.0544721
Olfr1180,0.153407643,0.292305741,0.109180773,0.028460881,0.124402021,0.075267494,1.016042032,1.119807252,1.07665937,0.669709005,1.046251951,1.07595074,1.393813165,0.228962477,0.41319793
Mcph1,0,5.223684745,2.038301783,148.8657507,119.4469577,170.8780229,1330.999333,1793.85451,1081.205188,914.8060276,892.5685602,1283.137891,1454.752239,552.4541974,273.132597
1700017G19Rik,4.076025765,3.162612376,0.913119408,35.16359461,26.36916602,30.5346312,656.0338495,1018.099098,466.4793654,383.8876783,365.8294074,547.1013929,597.0343263,83.53612219,49.37109067
Mir203,81.04932185,50.21614551,43.85847113,44.75753111,43.00761936,41.9173748,492.8989889,687.5976785,470.7501507,418.5290002,379.5084117,489.6710212,501.2078683,387.3702926,203.1778581
Eif4b,0.289503718,0,0.678400447,0.106257777,0,0.317794397,1.5914387,2.384169035,1.808006285,1.282262754,1.129407978,2.234908249,2.175449551,0.003294888,0.161423367
